,PlayerName,PlayerHeight,PlayerWeight,PotentialRating,BestPositions,BestOverallRating,PlayerValue,Wage,Nationality,Crossing,FinishingAccuracy,HeadingAccuracy,ShortPassing,Volleys,DefensiveAwareness,StandingTackle,SlidingTackle,Diving,Handling,Kicking,GkPositioning,Reflexes,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,JumpingPower,Stamina,Strength,LongShots,PreferredFoot,WeakFoot,SkillMoves,InternationalReputations,WorkRate,BodyType,Dribbling,Curve,FreekickAccuracy,LongPassing,BallControl,Age
1104,Mohamed Amine Ihattaren,183,75,86,CAM,79,22000000,7000,Netherlands,73,68,52,75,66,43,42,36,9,9,9,13,6,54,34,66,84,70,74,76,74,77,69,72,73,62,67,67,63,Left,4,4,1,High/ Medium,Normal (170-185),84,75,72,73,86,20
1105,Alejandro Berenguer Remiro,175,73,82,RM,79,16000000,23000,Spain,77,74,49,77,68,65,64,66,14,16,8,6,13,72,65,77,75,69,69,86,76,78,78,79,74,64,72,56,68,Right,3,3,1,High/ Medium,Normal (170-185),80,74,66,59,79,27
1106,Cheikhou Kouyaté,189,83,77,CB,78,9000000,48000,Senegal,53,63,79,69,50,77,79,76,15,8,9,12,9,85,77,73,65,52,72,64,69,62,79,56,74,77,89,85,63,Right,3,3,2,High/ High,Lean (185+),68,39,47,65,73,33
1107,Jefferson Agustín Farfán Guadalupe,178,84,77,RM,77,0,0,Peru,75,74,72,73,69,17,43,29,15,12,5,12,15,73,39,75,77,79,80,84,84,75,76,66,75,76,70,78,72,Right,3,4,2,Medium/ Low,Normal (170-185),74,82,75,72,78,38
1108,Thilo Kehrer,186,76,82,CB,79,14500000,52000,Germany,64,37,76,75,32,76,79,81,9,9,14,10,12,79,77,53,59,41,78,72,72,69,76,64,65,82,76,79,40,Right,5,3,1,Medium/ High,Normal (185+),65,54,38,66,69,26
1109,Unai López Cabrera,170,70,81,CAM,79,15000000,21000,Spain,73,74,51,82,55,67,72,59,9,13,12,13,15,72,71,68,77,46,76,77,71,83,77,88,73,77,77,62,75,Right,3,3,1,High/ Medium,Normal (170-),76,75,79,74,82,27
1110,Bouna Sarr,177,65,77,RB,77,9500000,60000,France,77,67,67,78,61,72,71,72,9,15,14,8,12,76,72,78,76,68,77,81,81,74,77,75,78,64,88,69,70,Right,3,3,1,Medium/ Medium,Lean (170-185),78,70,44,72,74,30
1111,Wagner Mauro Laranjo Coelho,177,77,77,CDM,77,2100000,25000,Brazil,61,69,74,82,48,76,73,70,13,5,13,14,11,70,73,60,77,75,79,69,66,63,71,71,81,55,82,78,80,Right,3,2,1,Medium/ Medium,Normal (170-185),70,66,70,79,82,38
1112,Simone Zaza,186,84,77,ST,77,10500000,48000,Italy,52,77,79,71,80,54,42,50,7,13,9,7,9,84,40,78,66,79,72,72,73,74,74,69,84,88,70,86,72,Left,3,4,2,High/ High,Normal (185+),76,71,56,45,76,31
1113,Víctor Ruíz Torre,185,78,77,CB,77,7000000,22000,Spain,54,37,77,69,39,80,80,82,12,8,6,6,14,81,79,39,56,46,69,49,47,52,75,55,59,76,68,77,38,Left,2,2,2,Medium/ Medium,Normal (185+),53,67,46,70,65,33
1114,Tom Heaton,187,92,77,GK,77,1800000,40000,England,17,12,16,32,12,16,15,13,77,76,74,78,77,31,24,12,46,24,62,56,55,54,72,52,56,73,40,66,12,Right,3,1,2,Medium/ Medium,Normal (185+),17,15,13,37,28,36
1115,Andeson Jaime Trigo Gonçalves,175,68,77,LB,77,7500000,23000,Brazil,75,60,60,75,59,76,74,77,13,13,9,8,12,70,62,72,73,67,80,85,79,89,82,79,70,69,84,52,61,Left,3,3,1,High/ Medium,Lean (170-185),76,84,77,72,73,34
1116,Rune Almenning Jarstein,190,86,77,GK,77,1200000,21000,Norway,18,13,16,30,16,12,11,13,80,73,71,80,77,34,19,15,49,13,50,40,46,35,70,45,53,59,31,70,18,Right,4,1,2,Medium/ Medium,Normal (185+),17,10,14,30,25,38
1117,Mariano Díaz Mejía,180,76,78,ST,78,12500000,125000,Dominican Republic,50,79,80,66,70,41,40,34,12,14,6,8,15,84,45,78,63,75,68,78,80,78,74,72,85,92,76,78,82,Right,4,3,1,High/ Medium,Normal (170-185),73,76,76,51,72,29
1118,Rubén Rochina Naixes,182,76,77,CAM,78,10500000,26000,Spain,69,74,54,79,68,51,57,53,7,16,11,13,13,65,53,73,79,67,82,72,68,75,73,79,82,63,68,71,83,Left,2,4,1,Medium/ Medium,Normal (170-185),83,81,77,77,82,31
1119,Sandro Tonali,181,80,91,CM,78,24000000,25000,Italy,70,60,69,82,60,70,74,72,13,9,8,7,7,76,74,60,78,64,74,83,78,74,74,75,75,63,74,79,70,Right,4,3,1,Medium/ High,Normal (170-185),76,75,75,81,79,22
1120,Kenny Tete,180,71,81,CB,78,14000000,68000,Netherlands,69,42,74,73,36,75,80,83,9,15,11,6,10,78,75,60,60,46,65,72,75,65,70,72,64,78,76,74,41,Right,2,2,2,Medium/ High,Normal (170-185),65,54,34,64,67,27
1121,Jadson José Meireles Correia,176,72,77,CDM,77,11000000,29000,Brazil,41,53,65,78,31,74,69,68,10,7,6,5,6,78,80,59,74,40,60,59,57,54,75,59,84,52,89,77,68,Right,3,2,1,Medium/ Medium,Normal (170-185),45,33,39,75,74,26
1122,Younès Belhanda,179,75,77,RM,78,10000000,60000,Morocco,77,70,67,77,69,55,62,58,15,16,11,6,16,75,68,71,78,80,72,75,72,84,77,78,73,79,84,63,73,Right,4,4,2,Medium/ Medium,Normal (170-185),83,78,75,76,82,32
1123,Konstantinos Fortounis,180,76,77,CAM,77,11000000,2000,Greece,77,72,57,77,71,45,35,38,16,15,16,13,11,63,32,75,77,80,80,74,76,79,77,68,74,69,67,68,77,Right,4,3,2,High/ Low,Lean (170-185),82,84,80,74,80,30
1124,Alexandre Moreno Lopera,179,68,78,LB,77,11000000,22000,Spain,75,59,60,73,65,70,74,71,15,7,12,11,9,63,69,73,73,70,60,87,90,85,74,79,61,62,93,51,56,Left,3,3,1,High/ Medium,Lean (170-185),78,69,57,64,75,29
1125,Javier Matías Pastore,187,78,77,CAM,77,8500000,23000,Argentina,73,70,61,82,78,45,51,51,14,9,6,10,12,62,64,74,80,73,78,55,59,75,69,63,78,48,49,56,74,Right,4,4,3,High/ Low,Lean (185+),78,79,69,74,82,33
1126,Anga Dedryck Boyata,188,84,77,CB,77,9000000,41000,Belgium,46,20,80,72,36,72,80,83,11,8,13,13,8,80,76,39,32,13,66,68,73,64,64,62,55,85,74,88,25,Right,3,2,1,Medium/ High,Normal (185+),53,34,13,61,58,32
1127,Mohamed Saïd Benrahma,172,67,80,CAM,78,14500000,43000,Algeria,74,72,47,72,64,42,30,21,16,7,8,11,11,51,40,75,77,69,74,81,78,85,73,77,73,56,68,47,70,Right,4,4,1,High/ Low,Normal (170-185),83,73,69,64,79,27
1128,Rodrigo Éder Vuarte Ruiz,179,77,77,CDM,77,9500000,36000,Brazil,67,65,53,78,53,83,76,75,13,9,7,9,12,80,76,57,60,47,52,63,66,62,69,65,71,54,82,75,68,Left,3,2,1,Medium/ Medium,Normal (170-185),56,60,60,76,73,30
1129,Jonas Hector,185,75,77,CDM,77,9000000,26000,Germany,78,55,68,76,51,77,78,77,9,10,10,12,14,70,78,59,72,65,75,72,67,68,78,68,69,66,78,75,61,Left,4,3,3,Medium/ Medium,Normal (185+),74,65,65,72,78,32
1130,Rafael Tolói,185,75,77,CB,77,9000000,47000,Brazil,44,28,78,66,30,79,82,80,11,12,16,16,8,78,82,40,50,64,78,65,62,61,78,66,75,76,56,69,62,Right,3,2,2,Medium/ High,Lean (185+),58,41,70,68,66,32
1131,Claudio Andrés Bravo Muñoz,184,80,77,GK,77,1200000,12000,Chile,12,13,18,56,11,15,18,19,77,76,84,75,77,40,23,16,69,23,64,58,54,63,72,62,63,81,39,69,17,Right,3,1,3,Medium/ Medium,Normal (170-185),22,25,38,54,32,39
1132,Ridgeciano Haps,175,66,78,LB,77,11000000,14000,Netherlands,73,57,58,75,49,71,74,71,13,8,15,6,13,73,73,70,55,50,67,88,89,85,74,82,67,73,81,66,60,Left,3,3,1,High/ Medium,Normal (170-185),78,65,47,60,73,29
1133,Mattéo Guendouzi Olié,185,80,86,CM,78,22500000,46000,France,67,56,67,79,55,72,73,70,6,13,6,13,11,78,73,67,79,62,77,71,75,73,75,70,74,68,79,72,68,Right,3,3,1,Medium/ High,Lean (185+),75,72,67,80,77,23
1134,Issa Diop,194,92,84,CB,79,19500000,31000,France,37,30,75,67,48,77,80,81,10,7,6,14,9,79,79,42,43,44,72,62,68,52,73,47,50,74,69,86,31,Right,3,2,2,Medium/ Medium,Lean (185+),50,32,34,63,63,25
1135,Chris Basham,190,80,77,CB,77,7000000,33000,England,63,37,75,67,52,78,80,76,14,15,6,7,6,85,82,50,57,31,62,60,68,60,79,54,59,71,75,79,40,Right,2,2,1,High/ Medium,Lean (185+),63,48,30,62,64,34
1136,Andrei Girotto,186,79,77,CB,77,9000000,26000,Brazil,65,58,77,77,51,78,80,78,11,7,9,6,12,81,79,59,54,55,61,61,56,64,74,56,77,74,71,69,79,Right,3,2,1,Medium/ High,Lean (185+),65,63,43,68,75,30
1137,Charlie Taylor,180,70,78,LB,77,11500000,48000,England,77,49,73,72,43,75,77,76,13,6,14,13,8,79,75,63,65,45,71,66,73,68,74,69,63,76,77,74,59,Left,2,3,1,High/ Medium,Normal (170-185),76,69,61,68,74,29
1138,Marcos Nicolás Senesi Barón,185,80,84,CB,79,19500000,12000,Argentina,53,32,78,73,25,80,82,76,10,13,11,7,8,73,77,32,65,40,76,69,61,60,73,61,48,76,68,78,31,Left,3,2,1,Medium/ High,Normal (185+),67,31,22,72,72,25
1139,Daniel Caligiuri,182,80,77,RM,77,8500000,29000,Italy,80,71,63,76,67,71,73,68,12,10,13,6,14,72,74,72,75,83,74,68,68,74,78,67,76,77,82,73,74,Right,4,3,2,Medium/ Medium,Normal (170-185),75,78,78,70,76,34
1140,Davy Klaassen,179,70,78,CM,78,12000000,17000,Netherlands,64,75,75,76,81,64,74,65,12,6,13,16,10,78,70,78,79,68,80,67,61,68,78,68,81,67,90,68,76,Right,3,3,2,High/ High,Normal (170-185),73,61,44,75,81,29
1141,Emiliano Ariel Rigoni,180,70,77,RM,77,11000000,22000,Argentina,74,71,65,73,71,51,41,55,16,6,10,8,16,44,33,74,73,60,71,85,85,79,69,68,71,57,79,58,76,Left,5,4,1,High/ Low,Lean (170-185),79,78,77,71,77,29
1142,Jamaal Lascelles,188,89,81,CB,79,13000000,37000,England,46,23,79,65,33,79,77,76,10,15,7,10,15,83,78,23,40,19,73,55,60,67,75,51,40,85,69,84,27,Right,3,2,1,Medium/ High,Stocky (185+),50,29,16,57,64,29
1143,Oier Sanjurjo Maté,178,72,77,CDM,77,3600000,29000,Spain,64,62,59,78,44,73,78,75,10,7,6,6,5,78,76,69,75,56,61,65,64,65,69,70,73,78,74,73,65,Right,2,2,1,Medium/ High,Normal (170-185),65,61,45,77,77,36
1144,Jovane Eduardo Borges Cabral,176,72,86,CAM,78,23500000,14000,Cape Verde,73,71,57,71,74,37,35,28,12,6,9,15,8,59,37,75,72,66,78,87,86,78,76,77,82,72,71,71,74,Right,4,4,1,High/ Medium,Stocky (170-185),82,71,75,66,78,24
1145,Victor Martin Maia Padilha,178,75,77,RB,77,11000000,12000,Brazil,72,52,68,73,55,80,74,73,8,16,9,10,15,64,73,61,71,63,72,76,81,72,74,69,54,55,78,56,53,Right,3,3,1,Medium/ Medium,Normal (170-185),71,61,62,71,77,26
1146,Pedro Filipe Teodósio Mendes,186,78,77,CB,77,9000000,31000,Portugal,25,25,75,68,22,79,81,76,10,6,13,10,10,87,79,25,32,35,70,68,66,55,71,52,67,77,74,81,34,Right,3,2,1,Medium/ Medium,Normal (185+),62,48,52,66,63,32
1147,Alexander Sørloth,194,90,81,ST,79,15500000,45000,Norway,66,81,79,67,69,39,23,21,15,12,8,15,8,74,36,79,69,70,79,72,78,56,76,56,82,64,83,89,68,Left,4,3,1,High/ Medium,Normal (185+),70,74,60,59,75,27
1148,Jonathan Emmanuel Orozco Domínguez,184,81,77,GK,77,1800000,17000,Mexico,20,15,15,59,15,29,19,25,76,72,84,77,76,45,19,18,70,30,70,59,59,70,74,64,63,84,45,75,18,Right,3,1,2,Medium/ Medium,Normal (170-185),29,19,16,65,39,36
1149,José Pedro Fuenzalida Gana,170,67,77,RW,77,4300000,12000,Chile,76,59,63,72,57,58,66,65,6,14,12,14,12,59,68,71,71,71,69,91,91,84,76,83,69,73,82,62,62,Right,4,3,1,High/ High,Normal (170-),79,65,59,68,78,37
1150,Jefferson Andrés Lerma Solís,179,70,80,CDM,78,12500000,14000,Colombia,66,56,65,76,56,73,76,75,16,14,11,7,9,88,76,59,65,58,72,70,72,74,71,76,79,84,81,74,73,Right,4,3,1,Medium/ High,Normal (170-185),71,66,65,75,75,28
1151,Mehmet Zeki Çelik,180,78,83,RB,77,15500000,27000,Turkey,74,37,65,74,42,72,74,72,13,14,9,10,7,74,75,72,69,46,69,77,79,67,73,67,49,66,83,71,36,Right,3,3,1,High/ Medium,Normal (170-185),69,72,37,67,75,25
1152,Jack Cork,183,75,77,CDM,77,7500000,48000,England,69,54,70,77,53,78,76,71,13,11,16,6,6,77,76,63,68,60,77,52,42,61,76,65,73,75,88,76,63,Right,4,3,2,Medium/ High,Normal (170-185),67,74,64,76,75,33
1153,Guilherme Alvim Marinato,195,95,77,GK,77,1800000,35000,Russia,13,11,13,39,13,14,16,18,81,71,73,76,80,35,21,13,55,12,65,37,40,54,74,30,55,62,34,71,16,Right,2,1,2,Medium/ Medium,Lean (185+),16,19,12,33,21,37
1154,Andriy Yarmolenko,190,83,77,CF,79,10000000,40000,Ukraine,79,77,69,77,74,37,35,30,9,5,6,5,14,76,54,79,77,85,74,63,67,65,81,63,83,39,52,76,83,Left,2,4,3,High/ Medium,Lean (185+),84,83,75,74,82,33
1155,Danilo Manuel Vieira Espíndola,189,84,77,CB,77,7000000,26000,Brazil,42,29,77,69,28,83,80,78,13,16,11,6,9,82,76,26,32,47,68,62,57,61,69,37,65,58,79,84,41,Right,2,2,1,Medium/ Medium,Normal (185+),48,36,30,69,67,34
1156,Clinton Mukoni Mata Pedro Lourenço,180,73,79,CB,80,11000000,24000,Angola,68,53,71,74,46,76,78,78,10,10,7,10,10,78,77,67,63,49,78,79,84,87,76,70,78,89,94,74,67,Right,3,3,1,High/ High,Normal (170-185),76,72,71,69,76,30
1157,José Luís Mendes Andrade,184,80,77,ST,77,10500000,53000,Cape Verde,45,77,82,65,76,36,19,24,8,11,16,10,14,76,29,78,73,75,72,77,82,67,76,61,80,90,75,83,66,Left,4,4,1,Medium/ Medium,Normal (170-185),76,66,54,44,78,31
1158,Jonjo Shelvey,184,80,77,CM,77,10500000,42000,England,73,66,67,82,66,60,63,61,14,11,15,8,16,84,62,70,82,71,78,56,58,62,73,65,85,64,76,71,81,Right,3,3,2,Low/ Low,Lean (170-185),73,69,73,84,77,30
1159,Nicolae Claudiu Stanciu,170,63,78,CAM,78,12000000,1000,Romania,77,69,66,79,68,56,47,47,14,7,13,10,12,63,50,70,81,73,71,75,71,84,78,83,75,63,82,61,76,Right,4,4,1,High/ High,Normal (170-),77,78,80,82,78,29
1160,Ruud Willem Vormer,178,79,77,CM,77,8500000,26000,Netherlands,79,70,70,80,76,76,75,70,9,16,10,7,7,80,77,79,80,75,79,64,55,63,75,70,78,67,93,73,76,Right,4,3,2,High/ High,Normal (170-185),67,77,82,76,75,34
1161,Michy Batshuayi Tunga,184,91,78,ST,78,12500000,82000,Belgium,65,80,75,62,77,37,26,22,9,10,16,7,15,63,23,80,62,67,81,75,75,75,77,75,81,80,64,79,73,Right,5,4,2,Medium/ Low,Normal (170-185),77,66,46,36,79,29
1162,Rafael Pereira da Silva,172,78,77,RB,77,9500000,36000,Brazil,75,53,64,77,59,73,77,75,14,7,6,12,8,85,77,74,72,58,74,78,74,79,76,83,72,84,74,72,62,Right,3,3,2,High/ Medium,Normal (170-185),79,77,51,72,76,32
1163,Bruno Viana Willemen Da Silva,187,79,81,CB,79,13000000,14000,Brazil,44,37,80,71,39,82,80,75,7,7,14,6,6,78,78,34,42,52,67,65,66,53,75,58,57,73,80,74,37,Right,3,2,1,Medium/ High,Normal (185+),52,44,42,64,61,27
1164,Lucas Rodrigo Biglia,178,63,77,CDM,77,3600000,15000,Argentina,74,50,54,82,78,76,78,74,14,12,7,12,7,80,78,50,76,72,80,52,50,70,72,78,77,58,65,57,75,Right,4,3,3,Medium/ Medium,Normal (170-185),76,71,76,79,80,36
1165,Moses Daddy Simon,168,69,80,RM,78,14500000,24000,Nigeria,75,72,58,67,72,30,36,32,7,13,12,13,9,38,34,73,71,60,74,93,92,91,68,92,76,89,75,68,66,Right,4,4,1,Medium/ Medium,Normal (170-),84,47,55,63,77,27
1166,Roque Mesa Quevedo,171,74,77,CDM,78,8500000,22000,Spain,69,68,32,80,37,75,78,76,15,8,7,11,9,86,78,76,79,45,80,67,67,73,80,87,66,75,78,72,61,Right,3,3,2,Medium/ High,Stocky (170-185),76,50,51,78,78,33
1167,Sergio Guardiola Navarro,184,78,77,ST,77,10500000,24000,Spain,52,77,70,74,75,32,19,18,11,14,11,11,11,75,28,81,63,68,74,73,75,74,77,70,76,70,72,81,72,Left,3,3,1,High/ Medium,Normal (170-185),78,73,43,41,80,31
1168,Dodi Lukébakio,187,77,83,CAM,78,17000000,37000,Belgium,68,77,54,74,66,31,29,24,9,7,14,11,12,33,26,78,69,64,76,82,82,76,76,70,75,67,69,69,71,Left,3,4,1,High/ Low,Lean (185+),82,69,65,61,79,25
1169,John Fleck,169,72,77,CM,77,10500000,38000,Scotland,78,67,44,79,79,76,70,69,7,8,7,13,6,84,75,68,78,60,75,76,66,79,77,84,78,79,86,66,73,Left,2,3,1,Medium/ High,Stocky (170-),77,78,70,78,76,31
1170,Benjamin Hübner,193,86,77,CB,77,8500000,31000,Germany,47,20,84,62,45,80,82,79,16,8,7,8,16,76,80,41,51,50,71,52,53,43,74,48,52,61,61,80,22,Left,2,2,2,Medium/ Medium,Normal (185+),58,40,42,58,63,33
1171,Raúl Mario Ruidíaz Misitich,169,66,77,ST,77,10500000,11000,Peru,67,82,74,71,71,34,22,23,12,9,9,11,12,62,28,80,66,70,75,82,86,83,78,86,76,75,75,55,78,Right,4,4,1,High/ Medium,Lean (170-),76,66,69,53,74,32
1172,Reece James,182,87,86,RB,77,22000000,49000,England,81,48,69,73,46,71,77,73,8,12,7,13,11,70,72,62,65,50,65,78,81,74,72,67,73,71,76,78,62,Right,3,3,1,High/ Medium,Stocky (170-185),76,70,66,68,76,23
1173,Alexander Djiku,182,81,80,CB,79,12500000,26000,Ghana,71,34,73,75,35,79,76,77,11,7,9,10,11,80,79,58,60,43,74,65,73,68,75,64,50,82,80,80,42,Right,3,2,1,Medium/ High,Normal (170-185),70,57,43,65,73,28
1174,Otávio Henrique Passos Santos,173,72,79,CDM,78,11500000,30000,Brazil,59,44,64,75,49,78,82,75,8,10,15,12,9,80,80,61,63,48,74,58,63,71,76,75,66,74,79,73,62,Right,3,3,2,Medium/ High,Normal (170-185),71,47,49,69,74,28
1175,Uğurcan Çakır,191,82,81,GK,77,12000000,20000,Turkey,15,13,14,32,20,17,18,16,75,73,70,76,80,27,25,14,42,23,52,53,56,49,75,58,53,76,40,67,19,Right,3,1,1,Medium/ Medium,Lean (185+),14,18,20,27,24,26
1176,Gary Alexis Medel Soto,171,76,77,CDM,77,7000000,30000,Chile,50,31,68,76,58,74,81,75,14,7,9,6,6,88,79,58,65,58,80,64,66,76,78,92,65,79,76,79,59,Right,4,3,3,Medium/ High,Stocky (170-185),63,35,45,67,68,35
1177,Aleix Vidal Parreu,177,70,77,RM,77,10000000,27000,Spain,74,68,63,79,48,75,70,74,8,7,8,12,12,80,74,69,71,51,72,82,82,75,77,75,81,76,69,66,59,Right,4,3,2,High/ Medium,Lean (170-185),79,69,46,66,79,33
1178,Silvio Ezequiel Romero,177,76,77,ST,77,9000000,22000,Argentina,67,80,78,74,75,28,48,37,8,12,11,16,9,45,26,78,72,81,69,74,69,77,71,72,82,67,71,75,68,Right,3,3,1,High/ Low,Stocky (170-185),74,71,45,63,78,34
1179,Jonathan Schmid,180,80,77,RB,77,9000000,24000,France,80,58,58,74,63,68,69,72,15,7,7,10,8,77,72,70,69,62,72,77,81,77,76,79,75,65,77,74,66,Right,3,3,2,High/ Medium,Normal (170-185),77,85,87,66,76,32
1180,Alberto Moreno Pérez,171,65,77,LB,77,10000000,29000,Spain,78,59,61,74,40,67,75,76,10,14,9,10,11,83,70,71,61,54,66,82,87,81,76,86,80,86,76,59,74,Left,2,3,2,High/ Medium,Normal (170-185),76,66,40,64,80,30
1181,Moisés Gómez Bordonado,176,71,78,LM,77,12500000,31000,Spain,77,72,54,80,65,62,50,37,12,7,16,7,7,52,54,75,77,59,74,69,67,76,74,75,74,64,76,54,75,Right,5,4,1,Medium/ Medium,Lean (170-185),79,82,59,75,78,28
1182,Diego Rico Salguero,183,76,78,LB,77,11000000,15000,Spain,75,45,71,72,53,74,78,77,10,9,15,11,10,70,80,64,70,43,65,71,74,66,74,69,77,74,78,75,70,Left,2,3,1,Medium/ Medium,Normal (170-185),71,74,69,60,72,29
1183,Gonzalo Escalante,182,76,80,CDM,78,12000000,48000,Argentina,68,66,63,76,59,74,76,77,10,12,7,12,11,85,78,64,70,64,80,66,66,63,72,68,79,74,78,71,63,Right,3,3,1,Medium/ High,Normal (170-185),67,63,52,75,74,29
1184,Romain Alessandrini,173,70,77,RM,77,8500000,18000,France,74,72,53,72,75,53,55,34,11,12,9,16,9,75,33,75,74,73,76,85,83,87,76,81,83,61,70,60,80,Left,4,4,2,High/ Medium,Normal (170-185),77,78,76,68,77,33
1185,Seko Fofana,185,74,80,CM,78,10500000,36000,Ivory Coast,62,66,58,78,50,68,75,68,9,8,9,11,10,76,74,76,72,56,72,75,77,73,76,69,81,61,78,76,79,Right,4,3,2,High/ High,Lean (185+),78,62,42,74,76,27
1186,Marco Sportiello,192,87,76,GK,76,5500000,36000,Italy,13,18,18,32,12,26,17,13,76,74,68,76,78,23,29,18,44,21,59,48,38,55,74,58,51,68,37,66,17,Right,2,1,2,Medium/ Medium,Lean (185+),19,14,21,19,22,30
1187,Ollie Watkins,180,70,81,ST,78,11500000,49000,England,67,77,80,70,60,40,46,36,14,14,14,6,10,34,44,79,74,60,62,79,86,79,74,73,74,83,82,71,69,Right,4,3,1,High/ High,Normal (170-185),73,63,56,59,73,27
1188,Alfreð Finnbogason,184,80,76,ST,76,6500000,29000,Iceland,37,83,68,70,79,30,32,34,6,15,16,15,11,64,20,85,72,90,83,61,61,65,78,65,78,66,50,76,77,Right,4,3,2,Medium/ Medium,Normal (170-185),75,56,51,67,75,33
1189,Sergio Herrera Pirón,192,82,78,GK,76,7000000,22000,Spain,20,16,14,24,16,15,17,18,77,76,73,73,76,25,12,13,33,32,53,45,49,45,73,45,55,56,42,67,14,Right,3,1,1,Medium/ Medium,Lean (185+),15,21,21,21,27,29
1190,Dimitrios Siovas,192,83,76,CB,76,5000000,21000,Greece,33,38,76,72,55,70,77,74,9,14,11,10,10,80,79,40,49,40,68,32,34,33,68,41,66,78,68,90,37,Left,3,2,2,Medium/ High,Normal (185+),62,56,28,70,69,34
1191,Álvaro Negredo Sánchez,186,86,76,ST,76,3600000,31000,Spain,45,77,82,71,77,33,31,30,11,6,11,7,13,77,28,76,68,80,70,62,63,67,74,60,83,82,63,86,76,Left,2,3,3,Medium/ Low,Stocky (185+),70,65,68,63,71,37
1192,Jonjoe Kenny,176,67,81,RB,76,10500000,52000,England,72,30,64,73,51,71,77,77,6,13,16,13,15,78,77,64,55,53,65,76,67,68,75,73,75,74,78,63,62,Right,3,3,1,High/ Medium,Lean (170-185),70,61,49,67,73,25
1193,Leonardo Cecilio Fernández López,166,65,85,CAM,78,17000000,31000,Uruguay,70,72,41,75,58,43,45,43,12,8,14,7,14,55,32,76,77,70,68,74,71,81,69,85,84,50,67,65,84,Left,3,3,1,High/ Low,Normal (170-),79,69,74,69,76,24
1194,Martin Braithwaite Christensen,177,73,76,ST,76,7500000,125000,Denmark,68,77,67,74,75,35,30,26,14,13,11,7,8,69,31,75,69,73,76,80,80,80,74,72,77,81,76,75,71,Right,4,4,2,Medium/ High,Normal (170-185),76,71,75,65,80,31
1195,Lisandro Ezequiel López Dessypris,188,80,76,CB,76,6000000,16000,Argentina,33,48,80,66,50,76,77,76,14,12,8,6,13,77,77,38,41,46,73,57,66,64,73,50,67,84,63,77,44,Right,2,2,3,Medium/ High,Normal (185+),59,37,32,56,62,33
1196,Habibou Mouhamadou Diallo,186,79,80,ST,78,10500000,29000,Senegal,35,81,81,66,66,13,17,17,13,14,14,15,12,47,19,78,55,80,66,69,73,64,75,66,77,86,69,79,61,Right,3,3,1,Medium/ Medium,Normal (185+),71,50,37,43,72,27
1197,Giovanni Di Lorenzo,183,83,77,RB,76,8000000,47000,Italy,76,68,71,73,66,76,75,74,8,10,8,10,7,74,75,70,64,59,72,68,71,72,75,72,72,75,78,72,69,Right,3,3,1,Medium/ Medium,Normal (170-185),75,69,69,71,73,29
1198,Robin Le Normand,187,81,82,CB,78,11000000,21000,France,35,19,77,80,25,78,78,76,9,13,14,15,10,68,78,21,31,34,58,59,61,43,63,55,40,80,62,82,22,Right,3,2,1,Medium/ Medium,Normal (185+),32,29,25,52,68,26
1199,Victor Wanyama,184,87,76,CB,78,6500000,9000,Kenya,62,61,68,74,60,76,80,77,6,14,10,13,16,87,78,63,58,65,70,51,51,62,77,65,79,78,54,88,60,Right,3,2,2,Low/ High,Stocky (170-185),68,62,57,70,74,31
1200,Giorgi Makaridze,190,85,77,GK,76,5500000,8000,Georgia,10,17,16,14,13,13,15,13,79,73,63,73,76,19,17,15,44,29,18,43,45,46,75,58,47,62,29,73,15,Right,2,1,1,Medium/ Medium,Normal (185+),25,15,17,12,28,32
1201,Tim Leibold,174,72,77,LB,76,8000000,14000,Germany,80,55,54,73,57,70,72,72,15,10,14,13,7,74,72,71,74,59,69,88,75,85,73,85,66,78,78,65,54,Left,3,3,1,High/ Medium,Normal (170-185),74,74,60,70,74,29
1202,Davide Calabria,176,70,81,RB,76,10500000,27000,Italy,76,30,64,72,58,76,76,75,8,14,15,12,7,76,75,42,50,48,74,75,72,78,74,78,62,68,74,58,48,Right,3,3,1,Medium/ Medium,Normal (170-185),70,76,48,66,71,26
1203,Eljero George Rinaldo Elia,176,77,76,LW,76,4700000,18000,Netherlands,67,63,50,72,69,38,32,28,11,13,6,15,8,66,32,66,67,62,69,93,91,91,71,79,77,67,70,64,72,Right,3,5,2,Medium/ Medium,Lean (170-185),86,77,40,62,80,35
1204,Javier Horacio Pinola,180,79,76,CB,76,1300000,11000,Argentina,69,53,73,77,51,74,77,75,8,12,11,7,11,88,74,69,67,59,75,67,69,67,71,62,75,81,67,79,63,Left,3,2,2,High/ Medium,Normal (170-185),69,65,55,69,71,39
1205,Frank Opoku Acheampong,168,65,77,LM,79,9000000,18000,Ghana,62,78,55,75,67,40,59,52,14,9,10,16,13,66,42,76,68,63,67,93,94,93,76,92,79,75,91,73,72,Left,3,4,1,High/ Low,Normal (170-),83,73,53,69,74,29
1206,Robin Knoche,190,77,78,CB,78,7500000,28000,Germany,30,38,82,64,28,79,81,74,14,10,16,10,9,72,80,37,39,37,71,50,52,52,77,49,58,67,62,77,35,Right,4,2,2,Medium/ Medium,Lean (185+),42,33,39,69,54,30
